;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2600;$COUNTRY$(은)는 $STATENAME$(을)를 제어하여 $COUNTRY$에 통합할 가능성을 고려했습니다. $COUNTRY$의 지배는 $COUNTRY$ 시민의 이주를 이끌어내 $PROVINCENAME$(을)를 변화시켰고, 이제 전 세계에서 $STATENAME$(이)가 완벽한 $COUNTRY$ 영토로 간주됩니다.;$COUNTRY$ has maintained control over $STATENAME$ for us to consider the possibility of integrating it into $COUNTRY$ as a whole. There are $COUNTRY$ flags waving in $PROVINCENAME$, flown by $COUNTRY$ citizens, so it does not seem so far-fetched an idea that $STATENAME$ be eventually considered $COUNTRY$ territory by the world at large.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2605;$PROVINCENAME$ 통합;$PROVINCENAME$ Integrated into $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2605;$COUNTRY$(은)는 오랫동안 $PROVINCENAME$(을)를 통제해왔습니다. 이는 $PROVINCENAME$ 주민들이 $COUNTRY$(으)로의 동화를 고려할만큼 오래되었기 때문에 다른 국가에서도 마침내 $PROVINCENAME$(을)를 $COUNTRY$의 영토로 간주합니다.;$COUNTRY$ has controlled $PROVINCENAME$ for a long time-- long enough for those within $PROVINCENAME$ to truly consider themselves $COUNTRY$ citizens, and for the rest of the world to consider the $COUNTRY$ claim to the province to be legitimate as well. Though there are still some unhappy with the development, $PROVINCENAME$ is now considered an integral part of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2610;$STATENAME$ 동화;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2610;$STATENAME$(은)는 $COUNTRY$ 영토로 간주됩니다. 이 지역에 영유권을 주장하는 이웃나라만이 반박하고 있으며, $STATENAME$ 내의 많은 사람들이 자신이 우리나라 시민이라고 생각합니다. 그들의 주장을 무효로 만들기 위한 첫 번째 단계는 $STATENAME$ 내의 모든 사람들의 동화를 장려하는 정책을 제정하는 것입니다. 그들은 $COUNTRY$ 시민이어야 하며 민족이 국적보다 우위에 있는 걸 막아야 합니다.;$STATENAME$ is considered $COUNTRY$ territory-- that is only in dispute by those neighbours who still have recognized claims on the area, and who maintain that many within $STATENAME$ consider themselves citizens of their country and not ours. The first step in rendering their claim invalid would be to enact a policy that encourages the assimilation of all people within $STATENAME$... they should be $COUNTRY$ citizens, and hold no other nationality above ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2611;동화정책 철회;Assimilation Policies Rescinded;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2611;새로운 정권이 들어서고 소수민족에 대한 자유주의적 견해가 $COUNTRY$(을)를 뒤덮으면서 소수민족을 도발할 수 있는 동화정책을 모두 폐지했습니다. $COUNTRY$군 내에서는 이 결정이 이웃들과 더 갈등을 일으킬 것이라고 주장하는 사람들이 있습니다.;With the new government in power and its more liberal views on minorities within $COUNTRY$, the policies of assimilation that attempted to stamp out minorities of other nationalities have all been rescinded. There are those within the $COUNTRY$ military who warn that this is a dangerous idea, and that allowing these foreign identities to perpetuate will only lead to further conflict with our neighbours-- but, for now, their voices have been ignored.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2615;$PROVINCENAME$에서 불태워진 깃발;Flags Burned in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2615;$PROVINCENAME$에서의 소수문화 주민들이 $COUNTRY$의 국기를 불태우면서 시위가 폭력적으로 변했습니다. 이번 사태는 $COUNTRY$의 동화 정책에 대한 거부로 보입니다. 당국은 시위를 진압했지만 불만은 여전히 커지고 있습니다. 이 혼란은 심지어 다른 주민들에게게 퍼지고 있습니다. 다른 주민들은 $COUNTRY$ 정부가 동화 정책을 폐기하고 소수 문화를 허용하도록 촉구하기 시작했습니다.;A demonstration in $PROVINCENAME$ turned violent as minorities held up $COUNTRY$ flags and burned them-- a demonstration of their rejection of our attempts to assimilate them into $COUNTRY$. Authorities broke up the demonstration, but there continues to be a growing discontent in the area. The turmoil has even spread to other citizens, who have begun calling on the $COUNTRY$ government to end its assimilation policies and let the minority groups be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2616;$PROVINCENAME$ 사건;Incident in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2616;최근 $PROVINCENAME$에서 이민족을 체포하면서 외교사건이 발생했습니다. $PROVINCENAME$ 내의 많은 소수자들은 그가 단지 $COUNTRY$의 동화정책에 반대했기 때문에 체포한 것이며, 그는 평화적인 저항의 말을 퍼뜨리려 했다고 주장합니다. $COUNTRY$ 당국은 이 남성의 관심은 조금도 평화롭지 않았다고 말하며, 그를 $PROVINCENAME$에 영유권을 가진 인접국의 첩자로 의심한다고 밝혔습니다. 진실이 무엇이든 간에, 그 반응은 조금도 평화롭지 않았습니다. 폭동이 예상되며, 당국은 반란을 경계해야 한다고 말합니다.;The recent arrest of a foreign national in $PROVINCENAME$ has led to a diplomatic incident. Many of the minorities within $PROVINCENAME$ claim that the man was arrested solely because he opposed the $COUNTRY$ assimilation policies, and was trying to spread word of a peaceful resistance. The $COUNTRY$ authorities say the man's interest was not peaceful in the least, and they suspect he in fact works for one of our neighbors with a claim on $PROVINCENAME$. Whatever the truth, the reaction has not been peaceful in the least -- riots are expected, and authorities say to be wary of rebellion in the area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2620;$PROVINCENAME$에서 펄럭이는 국기!;Flags Flying in $PROVINCENAME$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2620;최근 $PROVINCENAME$에서 $COUNTRY$ 국기가 최근까지 자신을 $COUNTRY$ 시민이라고 전혀 생각하지 않았던 사람들의 손에 들려 높이 펄럭이고 있습니다. 여전히 최근까지도 다른 국가가 $PROVINCENAME$에 영유권을 주장하고 있지만, $PROVINCENAME$ 주민들의 수용은 그 불가피한 사실의 제거에 큰 도움을 주고 있습니다.;A parade has recently taken place in $PROVINCENAME$, with the $COUNTRY$ flag flying high -- and being held by people who, until very recently, likely wouldn't have considered themselves $COUNTRY$ citizens at all. $PROVINCENAME$ is still claimed by another country, but the acceptance of $PROVINCENAME$'s people is going a long way towards making elimination of that an inevitable fact.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2625;$PROVINCENAME$ 동화 완료!;$PROVINCENAME$ Assimilated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2625;현재 $PROVINCENAME$의 길거리에서 사용할 수 있는 유일한 국기는 $COUNTRY$ 국기뿐입니다. 최종적으로 $COUNTRY$의 일부이자 $COUNTRY$만의 영역으로 간주할 수 있습니다. 인접국은 이 상황에 대해 불만을 갖겠지만, 해당 지역에 거주하는 타문화 주민들조차도 더 이상 스스로를 인접국의 일부로 여기지 않습니다.;The $COUNTRY$ flag is the only one that can now be found flying in the streets of $PROVINCENAME$. At long last, it can be considered $COUNTRY$ and only $COUNTRY$ territory. Even those who are members of other cultures no longer consider themselves truly part of our neighbors -- much as those neighbors might be unhappy with the situation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2626;$FROMCOUNTRY$의 영유권 주장;Claims in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2626;$FROMCOUNTRY$은(는) 오늘날까지 항상 $COUNTRY$의 국가적 영역으로 간주되는 일부 토지를 계속 보유하고 있습니다. 그러나 $FROMCOUNTRY$의 동화계획은 그곳의 동포들을 동화하는데 성공했습니다. 그곳 주민들은 더 이상 스스로를 $COUNTRY$ 국민으로 여기지 않으며, 설상가상으로 국제사회도 이에 동의하는 것 같습니다.;$FROMCOUNTRY$ continues to hold some of our lands, lands which until today have always been considered part of $COUNTRY$ national territory. A $FROMCOUNTRY$ program of assimilation has succeeded, however, in weaning our own people away from any feeling as if this true. They no longer consider themselves $COUNTRY$, and indeed the international community appears to agree with them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2650;$FROMCOUNTRY_ADJ$ 영토;$FROMCOUNTRY$ Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2650;$FROMCOUNTRY$과(와) 맺은 평화조약에 따르면, 당연히 그들에게 속한 땅을 포기해야 합니다. 오직 그 땅들만이요.;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to them -- and only the ones that belong to them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2651;$FROMCOUNTRY$의 요구;The $FROMCOUNTRY$ Demand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2651;$FROMCOUNTRY$과(와) 맺은 평화조약에 따르면, 당연히 다른 나라에 속한 땅을 포기해야 합니다. 오직 그 땅들만이요.;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to another nation -- but only those lands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2660;영토 탈환;Our Lands Returned;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2660;$FROMCOUNTRY$과(와)의 조약으로 일부 영토를 탈환했습니다. 하지만, 이는 우리의 영유권이 있는 땅에 한해서만 자격을 갖습니다. 그 이외의 영토는 $FROMCOUNTRY$에 반환해야 합니다.;As a result of the treaty with $FROMCOUNTRY$, some of $COUNTRY$'s lands are to be returned. We are, however, only entitled to those lands over which we have a claim. Any others should, by all rights, be returned to $FROMCOUNTRY$. \n \n 쬟NOTE: If you took $FROMCOUNTRY$ core provinces which are not also your own core provinces in this war, enacting the 'return' option will give those lands back. Be careful!쬦;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC10100_NEW;무서운 감자 병충해인 감자역병균이 국내 농촌을 강타했습니다. 소규모 자작농들은 굶주렸으며, 일부 지역에서는 감자 병충해가 국부적 기근으로 번질 위기에 처했습니다.;Phytophthora infestans, the dreaded potato blight, has struck one of our farming provinces. Starving smallholders, and in some places driving whole families from their homes, the potato blight has caused a localized famine that threatens to spread.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME10120_NEW;새 일간지;$COUNTRY$ Herald;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC10120_NEW;국내에서 새로운 일간지가 유통을 시작했습니다. 격렬한 정치 논평과 문학 비평, 지역 소식을 실은 한 신문이 지역 자유주의 정치계의 주력으로 급속하게 발전했습니다.;A new daily has begun circulating in $COUNTRY$. The $COUNTRY$ Herald, carrying hard-hitting political commentary, literary critique and local news, has quickly developed into a flagship for local liberal politics.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC10130_NEW;투표권의 확대와 토지에 따른 차등 투표권의 폐지를 요구하는 '차티스트협회'의 $COUNTRY$ 지부가 문을 열었습니다.;A local chapter of the Chartist Society, calling for a broadening of the voting franchise, and an end to landed voting rights, has opened in $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC10140_NEW;자유주의적 조직이 국내에서 관심을 끌기 시작했습니다. 아무도 확실하게 알지 못하는 사이에 자유주의적 선전이 갑작스레 호전된 근본적인 원인이 집권여당의 박해를 받고 있는 최근 설립된 비밀결사 때문이라는 소문이 있습니다. 장미십자회원이든 일루미나티이든 간에, 이러한 비밀결사원들은 국내 정치에서 자유로운 토론과 반대를 허용할 때까지 그림자 속에서 계속 행동할 것입니다.;Liberal causes have started to gain traction in $COUNTRY$. While no one knows for sure, rumor has it that the root cause of this sudden upswing in liberal propaganda efforts is the recent foundation of a secret society, forced into hiding due to the persecution of any legitimate opposition to the ruling party. Whether it be the Rosicrucian's or the Illuminati, these society members will continue to act from the shadows until $COUNTRY$ allows free debate and opposition in its politics.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10150_NEW;공장에서 뿜어져나오는 스모그가 암회색 하늘에 진한 붉은색으로 낮게 드리워져 있습니다. 도시의 깊은 곳, 산업용 기계의 가장 깊은 곳에서 배수구와 굴뚝을 배경으로 메아리치는 군중들의 외침과 고함소리가 들립니다. 열악한 근무환경에 격분한 이들이 거리에 나와 기계가 없던 잃어버린 옛날로 돌아가자고 외칩니다.;The smog from the factories hangs low against the blood red of a charcoal sky. Far away in the depths of the city, in the deepest bowels of the industrial machine, the cries and shouts of a forming mob can be heard echoing against a backdrop of drainpipes and smokestacks. Infuriated over poor working conditions, clamoring for a return to a lost pastoral dream remembered, Luddites take to the streets in $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10160_NEW;악행은 물과 같아 법의 강권이라는 댐에 갇히더라도 온갖 틈새를 통해 흘러나갑니다. 공공집회 금지조치 이후 국내 자유주의자들이 연회를 개최하기 시작했습니다. 겉보기에는 별 목적 없는 친구들간의 모임, 축하회, 잔치의 아무도 감히 입에 담을 수 없는 상식적인 비밀은 이런 연회가 사실 합법이라는 얇은 겉치체로 위장한 정치적 모임이라는 것입니다.;Immorality is like water, flowing through every conceivable crack in the dams of legal authority. Liberals in $COUNTRY$ have, on account of the ban on public meetings, begun holding banquets. Ostensibly without purpose -- A gathering among friends, a celebration, a feast -- the common knowledge secret that no one dare pronounce is that these banquets are political meetings carried out behind a thin veneer of legality.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10170_NEW;요즘 설교자들은 전염성 질병을 옮기는 쥐처럼 국경을 넘어 앞뒤로 쉽게 넘나듭니다. 자유주의자의 선동이 인접한 지역에서 $PROVINCENAME$(으)로 퍼지는 등 $STATENAME$ 전역을 위협하고 있습니다. 어쩌면 이곳에 군대를 파견해야 할지도 모릅니다.;Like rats carrying contagious diseases, the preachers of modernity move effortlessly back and forth across our borders. Liberal agitation has spread to $PROVINCENAME$ from a neighboring province and is now threatening to inflame the entire state. We might want to send some troops here.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10200_NEW;'윗대가리들에게 죽음을!' 한 쉰 목소리가 울려퍼졌습니다. $PROVINCENAME$의 거리에는 활기가 넘쳤습니다. 지역적 불의, 또는 그 불의에 대한 인식이 더러운 대중들을 거리로 나오도록 자극했습니다. 어쩌면 이외의 지역으로도 퍼질 위험이 있습니다. 아직 반란의 규모가 작은데다 앞으로의 진로도 확정되지 않았으니 관용을 통해 피할 수도 있겠지만, 본보기를 보이려면 단호하게 행동하는 것이 최선입니다.;'Death to the $MONARCHTITLE$!', a hoarse voice cries. The streets in $PROVINCENAME$ have come alive. A local injustice, or the perception of one, have animated the unwashed masses into rebellion against our rule and threatens to spread to the rest of the state. The revolt is still small enough that its future course has not been set in stone, and leniency might avert it, but perhaps it is best to put our foot down firmly to set an example?;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10205;길거리 싸움;Fighting in the Streets;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10205;최근 긴장이 극에 달한 한 지역에서 자유주의자들과 반동주의자들이 거리에서 싸움을 벌였습니다. 경찰이 재빨리 출동했음에도 긴장감은 여전히 고조되고 있으며, 이미 같은 주에 속하는 다른 지역에서도 싸움이 벌어졌다는 보고가 들어오고 있습니다. 관계자들은 폭력사태를 종식할 단호한 조치를 요구하고 있습니다.;Tensions in one of our provinces reached a boiling point recently, with liberals and reactionaries battling in the streets. $COUNTRY$ police were quick to move in, but tempers remain high and already there are reports of fighting elsewhere in the state. Officials are calling for decisive action to put an end to the violence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10215;고무받은 민족주의자;Inspired Nationalists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10215;인접국의 자유주의적 물결에 고무받은 국내 민족주의자들이 봉기했습니다. 행사 참가자들은 깃발을 흔들며 동포들에게 자유를 위해 투쟁에 동참해줄 것을 촉구하며 거리를 행진하고 있습니다. 폭력으로 대응하면 주 전체가 분노할지도 모릅니다. 그러나 정부 관계자들은 그보다는 시위를 끝장내는게 우선이라는데 합의했습니다.;Nationalists in $COUNTRY$, inspired by the wave of liberalism in a neighboring nation, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could inflame the entire state, but $COUNTRY$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10155;범민족주의자의 열정;Pan-Nationalist Fervor;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10155;국내 자유주의 혁명가들이 국민들에게 $CULTURE_GROUP_UNION$의 통일을 요구하면서 일부 지역을 휩쓸고 있습니다. 그들은 폭동과 폭력을 선동하면서 거리에서 $UNION$ 깃발을 흔들기 시작했습니다. 경찰은 이 문제를 처리하는데 어려움을 겪고 있습니다.;A fervor has been sweeping through parts of $COUNTRY$, with liberal-minded revolutionaries calling for $COUNTRY$ citizens to rise up and demand the unification of $CULTURE_GROUP_UNION$. They have begun waving $UNION$ flags in the streets, fomenting riots and violence. The police have had difficulties dealing with the problem.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10190_NEW;$PROVINCENAME$에서의 맹렬한 설교;Fiery Sermon in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10200_NEW;$PROVINCENAME$ 자유주의자 반란;Liberal Insurrection in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10210_NEW;$PROVINCENAME$ 자유주의자 봉기;Liberal Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10216;$PROVINCENAME$ 민족주의자 봉기;Nationalist Fervor in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10216;$PROVINCENAME$에서 $COUNTRY$ 전역에 걸친 자유주의의 물결에 고무받은 민족주의자들이 봉기했습니다. 행사 참가자들은 깃발을 흔들며 동포들에게 자유를 위해 투쟁에 동참해줄 것을 촉구하며 거리를 행진하고 있습니다. 폭력으로 대응하면 주 전체가 분노할지도 모릅니다. 그러나 정부 관계자들은 그보다는 시위를 끝장내는게 우선이라는데 합의했습니다.;Nationalists in $PROVINCENAME$, inspired by the wave of liberalism throughout $COUNTRY$, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could inflame the entire state, but $COUNTRY$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10221;케닝턴 커먼에서의 차티스트 가두시위;Chartist Rally in Kennington Common;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10221;케닝턴 커먼에서 차티스트들이 대규모 시위를 벌였습니다. 그곳의 자유주의자들은 부에 따른 차등적 투표권 폐지, 비밀투표 시행, 공정한 선거구 분배 등을 명시한 인민헌장을 즉시 시행할 것을 요구했습니다. 정부 내 많은 사람들은 이런 공개집회를 불법화해야 하며, 정부에게 이 광견병 환자들에게 가짜로 약속해 안심시키자는 제안을 해왔습니다. 한편 일각에서는 그들의 요구를 거절한다면 군주제가 반란으로 인해 무너질 것이라고 우려합니다.;;A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately -- giving equal votes to all men, rich or poor, as well as secret ballots and a fair distribution of constituencies. Many in the government are suggesting that such public gatherings should be made illegal, and that at best the British government should make empty promises to these rabble-rousers. Others fear that refusing their demands will lead to the monarchy being toppled by rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10222;프랑스 혁명($YEAR$);The French Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10222;'개혁 만세!'와 '국왕 타도!'를 외치는 성난 군중들이 파리를 휩쓸었습니다. 그들은 바리케이드를 세우고 프랑스 경비대와 교전했습니다. 이윽고 국왕은 퇴위 후 국외로 도망쳤습니다.;Angry crowds have flooded the streets of Paris, shouting cries of 'Down with the King!' and 'Long live the Reform!'. They have erected barricades in the streets and fighting has broken out with the Parisian municipal guards. With the city having been completely closed off from outside help, these crowds have begun to march on the royal palace. Our king has had no choice but to abdicate and flee the country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10223;루이나폴레옹의 정변;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10223;상원에게 대통령 재선 금지를 철회하라고 강요할 수 없어 위기에 직면했던 루이나폴레옹이 정변을 일으켜 프랑스 정부를 전복했습니다. 군대의 충성파들은 파리의 전략지점을 봉쇄했고, 국회를 해산해 루이나폴레옹을 모두가 인정하는 황제로 추대했습니다. 그는 나폴레옹 3세로 즉위해 프랑스의 황제로서 삼촌의 왕위를 되찾았습니다. 유럽 전역의 각국은 옛 나폴레옹의 부활을 우려하며 이 소식에 부정적인 반응을 보였습니다. 심지어 러시아 황제마저 '황제는 국민투표로 선출하는 것이 아닌 신께서 점지하는 것'이라며 루이나폴레옹을 황제로 인정하기를 거부했습니다.;Unable to force the Upper House to repeal its prohibition against presidential re-election and facing removal from power, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assembl? Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napol?n III, regaining his uncle's throne as the Emperor of France. All around Europe, countries are reacting to the news negatively, fearing a revival of the old Napoleonic goals. Even in Russia the ruler refuses to recognize the new Napoleon as emperor on the grounds that 'emperors are made by God, not elected by referendum.';;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10224;나폴레옹 황제 퇴위;Emperor Napoleon Deposed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10224;루이나폴레옹의 인기는 추락했습니다. 한때 국민들은 그의 즉위가 프랑스를 삼촌(나폴레옹 1세)의 통치기간만큼 위대하게 되돌릴 것이라 여겼으나, 프랑스는 이웃 국가들에게 철저히 가려졌습니다. 황제는 파리의 자유주의자들 사이에서 많은 적들을 키워왔고, 이제 그들은 황제를 공격하기로 선택했습니다. 나폴레옹은 물러났고, 이제 프랑스가 어떤 형태를 취할 것인가에 대한 의문점만이 남았습니다.;The popularity of Louis-Napoleon has waned. Where once it was expected that his ascension would return France to the greatness it experienced during the reign of his uncle, instead France sees itself being eclipsed by its neighbors. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take. Shall we restore the Bourbon dynasty under the Count of Chambord, elect for a Bourbon constitutional monarchy under the Comte de Paris, or instead opt to create the Third Republic?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME10225;헝가리 혁명($YEAR$);Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;헝가리 의회는 최근 수년간 오스트리아의 지배로부터 점점 더 독립성을 키워왔습니다. 오스트리아는 코운트 프란츠 필리프 폰 람베르크 육군 중장을 헝가리에 파견했지만, 그는 도착하자마자 군중에게 잔인하게 살해당했습니다. 이에 대해 오스트리아 정부는 헝가리 국회를 해산하고 요지프 옐라치크(요시프 옐라치치) 크로아티아 부왕을 사망한 람베르크의 지위에 임명했습니다. 헝가리인들이 복종을 거부했으므로 제국은 온전함을 유지할 내전에 직면했습니다.;The Hungarian Diet has grown increasingly independent of Austrian rule in recent years. Field Marshall Count Franz Philipp von Lamberg was sent to Hungary to take personal control over their armies, but was attacked upon his arrival. In response, the Austrian government ordered the Hungarian Diet dissolved and the Ban of Croatia installed in Lamberg's place. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10226;달콤한 자유!;Freedom At Last!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
