KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
news1;$TAG_2_0$ 정부의 평화제의 조건: $STRING_0_1$;The government of $TAG_2_0$ offered the peace with the following terms: $STRING_0_1$;;;;;;;;;;;;x;
war_we_win_medium_desc;$DATE_LONG_1$, $TAG_0_0$과(와) $TAG_1_0$의 전쟁이 영광스러운 승리로 끝났습니다. $STRING_0_0$(으)로 알려진 이 전쟁은 $DATE_SHORT_0$~$STRING_9_0$ 동안 지속되었습니다.;On $DATE_LONG_1$ the War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. $STRING_0_0$ ging von $DATE_SHORT_0$ 쬦er $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_win_small_title;$TAG_3_0$!에게 승리!;Victory over $TAG_3_0$!;;Sieg gegen $TAG_3_0$!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_win_small_desc;$STRING_0_0$이(가) 우리나라의 승리로 끝났습니다.;$STRING_0_0$ has ended with the defeat of $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_large_title;수치스러운 날\n$TAG_2_0_UPPER$과(와)의 평화조약 조인!;A SHAMEFUL DAY.\nPEACE WITH $TAG_2_0_UPPER$ SIGNED!;;SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ SPRUCHREIF!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_large_desc;$DATE_Long_1$, $TAG_2_0$과(와)의 전쟁이 부끄러운 패배로 끝났습니다. $STRING_0_0$로 알려진 이 전쟁은 $DATE_SHORT_0$~$STRING_9_0$ 동안 지속되었으며, 그 결과는 $STRINGS_LIST_4$입니다.;On $DATE_LONG_1$ the war against $TAG_2_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg mit $TAG_2_0$ in sch쬦licher Niederlage. $STRING_0_0$ w쬦ete seit $DATE_SHORT_0$ 쬦er $STRING_9_0$, das Ergebnis war $STRINGS_LIST_4$.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_medium_title;수치스러운 평화조약!;SHAMEFUL PEACE SIGNED!;;FRIEDEN UNTERZEICHNET!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_medium_desc;$DATE_Long_1$, $TAG_2_0$과(와)의 전쟁이 부끄러운 패배로 끝났습니다. $STRING_0_0$로 알려진 이 전쟁은 $DATE_SHORT_0$~$STRING_9_0$ 동안 지속되었으며, $TAG_2_0$의 승리로 끝났습니다.;On $DATE_LONG_1$, the War between $TAG_0_0$ and $TAG_1_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end $TAG_2_0$ was the victor.;;Am $DATE_LONG_1$ endete der Gro쬦 Krieg zwischen $TAG_0_0$ und $TAG_1_0$ siegreich f쬦 uns. Der als $STRING_0_0$ bekannte Krieg dauerte seit $DATE_SHORT_0$ 쬦er $STRING_9_0$ an und endete mit $TAG_2_0$ als Sieger.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_small_title;$TAG_2_0$과(와)의 평화;Peace with $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
war_we_lose_small_desc;$STRING_0_0$이(가) $TAG_2_0$의 승리로 끝났습니다.;$STRING_0_0$ has ended with our defeat at the hands of $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x;;;;;;;;;;;;;;;;
rebels_win_small_title;혁명!;Revolution!;;;;;;;;;;;;x;
rebels_win_small_desc;$STRING_0_0$이(가) $TAG_0_0$ 정부군을 격퇴하고 국가를 전복했습니다. $STRING_0_3$, $STRING_0_4$ 측은 어떻게 대응할까?;$STRING_0_0$ have defeated $TAG_0_0$ and broken the country, what will the $STRING_0_3$ $STRING_0_4$ do now?;;;;;;;;;;;;x;
KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
some_fake_1836_title_1;아편 갱신!;Opiate update!;;Neues vom Opium!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_1;아편 열풍이 중국을 휩쓸자, 무역상들은 여정이 길지만 여행할 가치가 있다고 말합니다.;Opium craze sweeps China, traders state it long journey, but worth the trip.;;Opiumwelle in China, H쬦dler sagen, die weite Reise lohnt sich.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_2;에테르 열풍;Ether craze;;훦her-Wahnsinn;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_2;에테르 희극의 인기가 높아지면서, 전문가들은 에테르의 정체가 기체라 주장합니다!;Popularity of ether frolics on the rise, pundits claim 밒t뭩 a gas!쬦;;훦her immer popul쬦er, Experten behaupten: 밇s ist ein Gas!쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_3;달콤한 꿈;Sweet Dreams;;S廻e Tr쬦me;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_3;일반적인 마취제를 수술에 처음 사용하는 미국의 외과의사가 종양 제거를 위해 환자를 재웠습니다.;First use of general anaesthesia in an operation, surgeon in USA puts patient to sleep for tumour removal.;;Erster Einsatz von An쬦thesie bei Operation, Arzt in den USA l癌t Patienten Tumor-Entfernung verschlafen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_4;음어;Code words;;Codew쬦ter;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_4;미국 새뮤얼 모스가 보낸 세계 최초의 전보입니다.;World first electrical telegraph message sent in USA by Samuel Morse in the USA.;;Erste elektr. telegrafische Nachricht der Welt von Samuel Morse in den USA gesendet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_5;우표 수집가들의 환호!;Philatelists rejoice!;;Philatelisten jauchzet!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_5;세계 최초의 우표인 영국의 페니 블랙에는 젊은 빅토리아 여왕이 그려져 있습니다.;Postage stamp introduced in the United kingdom, known as 밣enny Black쬦it features a picture of the young Queen, Victoria.;;"Neue Briefmarke ""Penny Black"", mit dem Antlitz der jungen K쬦igin Victoria im Vereinigten K쬦igreich im Umlauf.";;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_6;당장 나가!;Out now!;;Jetzt neu!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_6;러시아에서 풀려난 영혼을 읽고 비평가들은 그것이 너무 어렵다고 주장합니다.;밆ead souls쬦released in Russia, critics claim it is too difficult.;;밆ie Seelen der Toten쬦aus Russland, Kritiker: zu kompliziert.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_7;목관쬦 금관쬦;Woodwind or Brass쬦;;Holzbl쬦er oder Blech쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_8;골드러시!;Gold rush!;;Goldrausch!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_8;캘리포니아에서 금이 발견되면서 많은 사람들이 몰려들었습니다!;Gold discovered in California, massive rush of prospectors to the area!;;Gold in Kalifornien entdeckt, Goldsucher 쬦errennen das Land!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_9;'까마귀' 출간;The Raven' published;;밆er Rabe쬦ver쬦fentlicht;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_9;한 작가의 최근 단편소설은 암울한 역작이며, 틀림없이 여러분의 목덜미에 있는 털을 치켜세울 것입니다.;A grim tour-de-force, Poe뭩 latest short story is sure to raise the hairs on the back of your neck.;;Eine d쬦tere Glanzleistung, Poes neueste Kurzgeschichte sorgt f쬦 G쬦sehaut.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_10;풍성한 여성상;The bountiful female form;;Die 쬦pige Form der Frau;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_10;(판독자 재량권 권고) 여성의 허리와 엉덩이 크기가 각각 사상 최소 및 최대치입니다. 5쪽에 계속됩니다.;(reader discretion is advised) Female waist and hip sizes are apparently at an all-time minimum and maximum respectively. Continued on page 5;;(Explizite Inhalte) Weibliche Taillen und H쬦tgr秤en scheinbar so schmal und auch breit wie nie zuvor. Mehr auf Seite 5;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_title_11;사설;Editorial;;Redaktionelles;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1836_11;자유주의는 서구 문명을 파괴할 것이다. 강력한 정부가 없으면 사람들은 굶주리고 야만으로 돌아가 살아가면서 자식들을 먹여살릴 것이다.(10쪽 참조);This liberalism will destroy the western civilisation. Without strong government, people are going to starve and revert to barbarism to survive and feed their children. (see pg. 10);;Liberalismus zerst쬦t westliche Zivilisation (mehr auf Seite 10)쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_title_1;우리의 선조쬦;Our ancestors쬦;;Unsere Vorfahren쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_1;과학자들은 독일에서의 네안데르탈인의 화석 발견에 놀랐습니다.;Scientists amazed by "Neanderthal man" fossil discovery in Germany.;;Forscher begeistert in Deutschland entdecktem Neandertaler-Fossil.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_title_2;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_2;동물성 지방은 탄약통에 기름을 바르는 데 완벽한 물질이라는 것이 당사 신문의 확실한 견해이다. 이 흔들림 없는 결론에 도달한 방법을 뒤에서 확인해본다(10쪽 참조).;It is the assured opinion of this newspaper that animal-fat is the perfect substance for greasing bullet-cartridges. See how we reached this unshakable conclusion inside (see pg 10);;Tierfette perfekt f쬦 das Einfetten von Patronenh쬦sen (siehe Seite 10)쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_title_3;쇠퇴하는 운하;Canals in decline;;Kan쬦e zerfallen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1850_3;한때 자랑스러웠던 우리나라의 운하 체계가 급격히 쇠퇴하고 있는 것으로 보입니다. 어떠한 대책을 강구할 수 있을까요? 4쪽에서 계속됩니다.;The once-proud canal system of our nation is seen to be in precipitous decline. What can be done쬦 Continued on page 4;;Einstmals stolzes Kanalsystem unserer Nation zerf쬦lt rapide. Was kann man tun쬦 Weiter auf Seite 4;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_1;링컨 암살;Lincoln assassinated;;Anschlag auf Lincoln;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_1;에이브러햄 링컨 미합중국 대통령이 포드 극장에서 존 윌크스 부스에게 가까운 거리에서 총에 맞아 사망했습니다.;Abraham Lincoln assassinated in Ford뭩 theatre by John Wilkes Booth, shot dead at close range.;;Abraham Lincoln in Ford's Theatre von John Wilkes Booth ermordet, Todesschuss aus kurzer Distanz.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_2;링컨 암살미수;Lincoln fine;;Lincoln wohlauf;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_2;존 윌크스 부스의 애이브러햄 링컨 암살 시도가 실패했으며, 링컨은 포드극장 발코니에서 가해자를 집어던졌습니다.;Failed assassination attempt of Abraham Lincoln by John Wilkes Booth, President throws assailant from balcony of Ford theatre.;;Attentat auf Abraham Lincoln durch John Wilkes Booth fehlgeschlagen, Pr쬦ident st秤t Attent쬦er vom Balkon im Ford's Theatre.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_3;정정당당하지 못하다;Unsporting;;Unsportlich;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_3;군용 잠수함이 발명됐지만 전 세계적적으로 불공정하다는 여론이 일면서 영원히 금지됐습니다.;Military Submarine invented, globally agreed to be 뱔nfair쬦and banned for all time.;;"Milit쬦isches U-Boot erfunden, weltweit als 뱔nfair"" eingestuft und f쬦 alle Zeiten verboten.";;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_4;보건복지;Healthcare;;Gesundheitswesen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_4;플로렌스 나이팅게일이 런던 세인트 토마스 병원에 간호사를 위한 학교를 설립했습니다.;Florence Nightingale founds school for nurses in St Thomas' Hospital, London.;;Florence Nightingale gr쬦det Schwesternschule am St Thomas' Hospital, London.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_5;원소 조직화;Elements organised;;Elemente geordnet;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_5;드미트리 멘델레예프가 56개의 알려진 요소를 모두 나열한 주기율표를 제출했습니다.;Dmitri Mendeleev invents periodic table, listing all 56 known elements.;;Dmitri Mendeleev erfindet Periodensystem, alle 56 Elemente aufgelistet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_6;유행 확산;Cycle fad spreads;;Rad-Trend nimmt zu;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_6;자전거 열풍이 서구세계를 휩쓸고 있습니다. 자전거쯤은 하나 가져야죠!;Bicycle craze sweeps western world, Velocipedes are must haves!;;Zweirad-Wahn erfasst westl. Welt, Stahlr쬦ser sind ein Muss!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_7;솜브레로 폭 사상 최고;Sombrero width at an all-time high;;Sombreros breit wie nie;;;;;;;;;;;x;;;;;;;;;;;;;;;;
