;;;;;;;;;;;;;x,,,,
EVTOPTA96005;희망을 잃지 마라!;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;x,,,,
EVTNAME96006;총체적 붕괴;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;x,,,,
EVTDESC96006;가볍게 말하자면 전쟁이 잘 풀리지가 않습니다. 고문들은 더 끔찍한 일이 일어나기 전에 전국이 총력을 다해야 한다고 조언하고 있습니다. 국민들이 반란을 일으키기 직전입니다. 이제 행동해야 합니다!;The war effort is not going well, to put it lightly. Advisors are saying that $COUNTRY$ should sue for peace, do whatever it takes to end this war before something even more terrible happens. The people are on the brink of revolt. We must act!;;;;;;;;;;;;;x,,
EVTOPTA96006;재앙이로다!;Disaster!;D?astre!;Unfall!;;;;;;;;;;;x,,,,
EVTOPTA96010;평화를 환영한다.;We welcome peace;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;x,,,,
EVTNAME96013;$FROMCOUNTRY$ 해체;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96013;$FROMCOUNTRY$은(는) 패전을 인정해야 했고, 승전국들은 $FROMCOUNTRY$ 식민제국의 해체를 논의하는 협상에 우리를 초대했습니다. 이는 잠재적으로 $FROMCOUNTRY_ADJ$에 속했던 $COUNTRY_ADJ$의 반환을 의미합니다. 다만 이 영토를 포기한다면 $FROMCOUNTRY$과(와)의 관계를 복구할 수도 있습니다.;$FROMCOUNTRY$ has been forced to concede defeat in its war, and we have been invited to the negotiating table to discuss the potential breakup of their empire. This could potentially mean we see $COUNTRY$ lands returned to us, though if we forego our claims it could mean salvaging a relationship with $FROMCOUNTRY$.;;;;;;;;;;;;;x,,
EVTOPTA96013;회담에 참석하겠다.;We will attend the talks;Nous joindrons les entretiens;Wir gehen zu den Gespr?hen;;;;;;;;;;;x,,,,
EVTOPTB96013;회담에 참석하지 않겠다.;We will not attend;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;x,,,,
EVTNAME96014;$FROMCOUNTRY$ 해체;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96014;$FROMCOUNTRY$은(는) 패전을 인정해야 했고, 승전국들은 $FROMCOUNTRY$ 식민제국의 해체를 논의하는 협상에 우리를 초대했습니다. 이는 잠재적으로 $FROMCOUNTRY_ADJ$에 속했던 $COUNTRY_ADJ$의 반환을 의미합니다. 다만 이 영토를 포기한다면 $FROMCOUNTRY$과(와)의 관계를 복구할 수도 있습니다.;;$FROMCOUNTRY$ has been forced to concede defeat in its war, and now treaty talks have begun to discuss the breakup of their empire. As an enemy of $FROMCOUNTRY$, our place at the table is assured. At the very least, any $COUNTRY$ lands currently in $FROMCOUNTRY$ possession should be returned.;;;;;;;;;;;;;x,
EVTOPTA96014;우리 땅의 반환을 원할 뿐이다.;We simply wish our lands back;Nous voulons nos terres;Wir w?schen unsere L?der;;;;;;;;;;;x,,,,
EVTNAME96015;$COUNTRY$ 해방;Libert?$COUNTRY$;$COUNTRY$ Freiheit;;;;;;;;;;;x,,,,
EVTDESC96015;FROMCOUNTRY$은(는) 전쟁에서 패배해 협상을 해야 했습니다. 그들 식민제국을 해체하는 조건 중 하나는 식민지들을 해방하는 것입니다. 이는 $FROMCOUNTRY$ 관리들을 식민지에서 추방하고 잠재적으로 독립국으로 만드는 것을 의미합니다. 다른 선택지로는 이를 포기하고 $FROMCOUNTRY$과(와) 긴밀한 관계를 유지할 수도 있습니다.;The defeat of $FROMCOUNTRY$ in their war has forced them to the negotiating table, and one of the terms for the breakup of their empire is our release from their direct rule. This would mean casting out $FROMCOUNTRY$ officials and potentially turning them into an enemy. We could maintain our close ties with $FROMCOUNTRY$ even with our freedom, though this would mean passing up a chance for freedom and goodwill from $FROMCOUNTRY$'s enemies.;;;;;;;;;;;;;x,,
EVTOPTA96015;$COUNTRY$은(는) 해방을 맞으리라.;$COUNTRY$ shall be free;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;x,,,,
EVTOPTB96015;$FROMCOUNTRY$은(는) 우리 동맹이다.;$FROMCOUNTRY$ is our ally;$FROMCOUNTRY$ est notre alli?$FROMCOUNTRY$ ist unser Verb?detes;;;;;;;;;;;x,,,,
EVTNAME96016;$FROMCOUNTRY_ADJ$ 식민지;The $FROMCOUNTRY$ Colonies;Les Colonies $FROMCOUNTRY$;Das $FROMCOUNTRY$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96016;전후처리에 관한 회담에서 $FROMCOUNTRY_ADJ$ 식민지의 처우가 안건에 올랐습니다. $FROMCOUNTRY$이(가) 식민지를 모두 몰수해야 한다는데는 모두 동의하지만, 그 처분에 대해서는 의견이 분분합니다. 현재 일부 지역을 결정하는 합의가 이루어졌고, 나머지에 대해서는 내년에나 합의를 이룰 것 같습니다.;One of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. They should not be allowed to keep these lands, but determinining how they should be disposed of is no simple matter. For now, agreement has been reached determining some of the territory, and any remaining will have to be negotiated over in the coming year.;;;;;;;;;;;;;x,
EVTOPTA96016;다다익선!;We will take what we can;Nous voulons autant que possible;Wir w?schen so viel wie m?lich;;;;;;;;;;;x,,,,
EVTOPTB96016;오직 $FROMCOUNTRY$의 국력을 제한하는데만 관심을 가질 뿐이다.;Our only interest is limiting $FROMCOUNTRY$ power;Nous voulons seulement;Wir w?schen nur wenig;;;;;;;;;;;x,,,,
EVTOPTC96016;그들의 식민지에는 관심이 없다.;We have no interest in their colonies;Nous ne voulons pas les colonies;Wir w?schen nicht die Kolonien;;;;;;;;;;;x,,,,
EVTDESC96017;전후처리에 관한 회담에서 $FROMCOUNTRY_ADJ$ 식민지의 처우가 안건에 올랐습니다. 우리는 강대국이 아니므로 식민지를 추구해도 소득이 없을 수 있지만, 이는 시도하지 않아도 마찬가지입니다. 다만 그 시도가 공격적으로 보일 수도 있습니다.;One of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. We are not a great power, and it's possible that even if pursue some of their colonies for our own we'll end up with nothing... but if we do not try, we'll end up with nothing for sure. Even so, making the attempt could be seen as aggressive.;;;;;;;;;;;;;x,
EVTNAME96020;종전;The War is Over;La Guerre c'est Finie;Der Krieg ist Fertig;;;;;;;;;;;x,
EVTDESC96020;전쟁이 끝난 후, $COUNTRY$ 사람들은 기념을 위해 $CAPITAL$의 거리로 나왔습니다. 전쟁의 대가는 가혹했지만 오늘 $COUNTRY$은(는) 단지 행복할 뿐입니다.;With the war finished, the $COUNTRY$ people have taken to the streets of $CAPITAL$ in celebration. The toll of the war has been heavy, but today $COUNTRY$ is simply happy to be at peace.;;;;;;;;;;;;;x,,
EVTOPTA96020;$COUNTRY$ 만세!;Long live $COUNTRY$!;Vive $COUNTRY$!;Lieben lang $COUNTRY$!;;;;;;;;;;;x,,,,
EVTDESC96022;강대국들은 $FROMCOUNTRY_ADJ$의 일부가 우리 $COUNTRY$에 속하므로 반환해야 한다고 결정했습니다. $COUNTRY$ 사람들은 이 소식에 기뻐했습니다.;$FROMCOUNTRY$ has been created from the ether, but the powers-that-be have determined at least some of their lands rightfully belong to $COUNTRY$ and should be returned to us. The $COUNTRY$ people have rejoiced at this news.;;;;;;;;;;;;;x,,,
EVTNAME96025;적의 적은 동지;Enemy of my Enemy;Ennemi de mon Ennemi;Feind meines Feindes;;;;;;;;;;;x,,,,
EVTDESC96025;전황을 바꾸려면 $FROMCOUNTRY$의 적성국들을 우리 편으로 끌어들여야 한다는 의견이 있습니다. '적의 적은 나의 동지'라는 속담에 충실하게 말입니다. $FROMCOUNTRY$과(와)의 전쟁에서 승리한다면 이 속담을 마음 속 깊히 새겨야 하겠습니다.;Now that we are in a state of total war, the idea has arisen that $COUNTRY$ should approach $FROMCOUNTRY$'s enemies to see if there are those who would join our side against them. This may mean an unholy alliance with those who might never fight at our side otherwise, but as the old saying goes: 'The enemy of my enemy is my friend.' If we are to win the war against $FROMCOUNTRY$, we may have to take that to heart.;;;;;;;;;;;;;x,
EVTOPTA96025;그리하라.;Do it;Oui;Ja;;;;;;;;;;;x,,,,
EVTOPTB96025;더이상의 동맹은 필요없다.;We don't need more allies;Nous n'avons pas besoin de plus d'alli?;Wir ben?igen nicht mehr Verb?dete;;;;;;;;;;;x,,,,
EVTNAME96030;전쟁의 그림자;The Shadow of War;L'ombre de la Guerre;Der Schatten des Krieges;;;;;;;;;;;x,,,,
EVTDESC96030;$FROMCOUNTRY$ 외교관이 제안서를 가지고 우리나라를 찾았습니다. 적의 적은 친구이니 자신들 편으로 참전해달라는 것입니다. $FROMCOUNTRY$과(와) 싸웠다가 사이좋게 공멸할 수도 있습니다. 선택은 우리 몫입니다.;A diplomat from $FROMCOUNTRY$ has approached us with a proposal: an alliance with them, to fight in a war against their enemy... who is certainly no friend of ours. While the alliance does not necessarily obligate us, the question really remains whether or not $COUNTRY$ even wishes to go to war. If we fight with $FROMCOUNTRY$, we stand the chance of gaining the spoils of war for ourselves. It also means we could fall with them. The choice is ours.;;;;;;;;;;;;;x,
EVTOPTA96030;$FROMCOUNTRY$과(와) 동맹을 맺겠다.;We will ally with $FROMCOUNTRY$;Nous convenons;Wir stimmen zu;;;;;;;;;;;x,,,,
EVTOPTB96030;거절한다.;We refuse;Nous refusons;Wir lehnen ab;;;;;;;;;;;x,,,,
EVTNAME96031;$FROMCOUNTRY$의 동맹 수락;$FROMCOUNTRY$ Has Agreed;$FROMCOUNTRY$ a Convenu;$FROMCOUNTRY$ hat Zugestimmt;;;;;;;;;;;x,,,,
EVTDESC96031;$FROMCOUNTRY$이(가) 동맹에 동의한다는 약속을 보내왔습니다. 그러나 실제로 전쟁에서 함께할지는 아직 확실하지 않습니다.;We have received word from $FROMCOUNTRY$ that they have agreed to an alliance. Whether or not they will actually live up to that alliance and join us in the war remains to be seen.;;;;;;;;;;;;;x,,,,
EVTOPTA96031;좋아.;Great;Excellent;Ausgezeichnet;;;;;;;;;;;x,,,,
EVTNAME96065;격분!;Outrage!;;;;;;;;;;;x,,,,
EVTDESC96065;몇 주 전 $CAPITAL$에서 국가 기밀을 훔친 혐의로 한 특사를 기소했습니다. 적성국과의 외교사건이었기 때문에 시민들은 격분했는데, 조사로 밝혀진 진실은 훨씬 더 심각했습니다. 이 사건에는 $COUNTRY$을(를) 불안정하게 만들어 침략에 노출시키려는 음모가 숨겨져 있었습니다. 이 같은 사실이 대중에게 공개되자 $CAPITAL$에서 전면전을 요구하는 시위가 잇따르고 있습니다.;A diplomatic incident with one of our enemies has outraged $COUNTRY$ citizens. Several weeks ago, an envoy assigned to $CAPITAL$ was accused of stealing national secrets. It turned out the truth was far worse, and an investigation has unearthed a conspiracy to destabilize $COUNTRY$ and leave it weak for invasion. This has leaked out to the public, and now crowds in the capital are calling for total war.;;;;;;;;;;;x,
EVTOPTA96065;$COUNTRY$의 이익을 반드시 지켜내야 한다.;We must defend $COUNTRY$ interests, no matter the cost.;;;;;;;;;;;x,,,
EVTOPTB96065;전쟁은 감당할 수 없다.;We cannot afford such a war.;;;;;;;;;;;x,,,,
EVTNAME96066;암살!;Assassination!;;;;;;;;;;;x,,,,
EVTDESC96066;철저한 조사 덕분에 반체제 인사가 저지른 국내의 유명인사 암살사건에 관한 진실이 밝혀졌습니다. 적성국이 $COUNTRY$을(를) 불안정하게 만드려 배후에서 선동했던 것입니다. 수사 결과를 대중에게 공개하자 $CAPITAL$에서 전면전을 요구하는 시위가 잇따르고 있습니다.;The assassination of a prominent $COUNTRY$ citizen by a dissident has, after a thorough investigation, turned out to be at the instigation of an enemy power. This is but the latest in a string of incidents designed to destabilize $COUNTRY$. The results of the investigation have leaked to the public, and massive crowds gathered in the streets of $CAPITAL$ are now calling for total war.;;;;;;;;;;;x,
EVTNAME96070;$COUNTRY_ADJ$ 식민지;The $COUNTRY$ Colonies;Les Colonies $COUNTRY$;Das $COUNTRY$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96070;평화조약에 따라 $COUNTRY_ADJ$ 식민지와 해외 영토가 해체됩니다. 어느 국가가 이 영토들을 차지할지는 진행 중인 협상에 따라 정채질 예정입니다. 굴욕은 끝나지 않은 것 같습니다.;According to the peace treaty, our colonies and overseas territories must be surrendered. Negotiations are currently underway as to which nations they will be 'assigned' to. It appears our humiliation is not yet complete.;;;;;;;;;;;;;x,,,
EVTOPTA96070;우리 식민제국을 분할할 시간이 왔군.;Time to carve up our empire.;Nous n'avons aucun choix.;Wir haben keine Wahl.;;;;;;;;;;;x,,,,
EVTNAME96071;$FROMCOUNTRY_ADJ$ 식민지 양도;Transfer of the $FROMCOUNTRY$ Colonies;Les Colonies $FROMCOUNTRY$;Das $FROMCOUNTRY$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96071;승전국들이 $FROMCOUNTRY_ADJ$ 식민지와 해외 영토를 어느 나라가 지배할지 협상을 진행하고 있습니다.;Negotiations are still underway as to which countries will obtain control over the remaining $FROMCOUNTRY$ colonies and overseas territories.;;;;;;;;;;;;;x,,,,
EVTOPTA96071;식민지 지배권을 수락하겠다.;We will accept control over the colony.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTOPTB96071;더이상의 식민지는 원하지 않는다.;We do not wish any more colonies.;Nous refusons.;Wir lehnen ab.;;;;;;;;;;;x,,,,
EVTOPTC96071;현재 식민지로 족하다.;We will skip the current colony.;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,
EVTDESC96081;회담에서 $FROMCOUNTRY_ADJ$ 일부를 우리에게 배정했습니다. 현재 국경으로는 접근하기가 어려우니 포기하자는 주장도 있습니다. 그러나 $FROMCOUNTRY$이(가) 영토를 유지해도 괜찮을까요?;An isolated $FROMCOUNTRY$ territory has been offered to us. We should consider whether we wish to adminster it, as accessing the land may be difficult according to current borders. But, then again, do we truly wish $FROMCOUNTRY$ to keep it?;;;;;;;;;;;;;x,
EVTNAME96085;$COUNTRY$ 신정부;The New $COUNTRY$ Government;Le Nouveau Gouvernement $COUNTRY$;Die Neue $COUNTRY$ Regierung;;;;;;;;;;;x,,,,
EVTDESC96085;외국군은 $CAPITAL$을(를) 떠나며 민주주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 알 수 없지만, 많은 사람들은 외국이 부여한 '자유'가 진정한 것인지 의문을 가집니다.;As the armies of our former enemy depart $CAPITAL$, they leave behind a newly-installed democratic government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ question whether 'freedom' imposed by a foreign power is truly that.;;;;;;;;;;;;;x,,
EVTOPTA96085;새 체제를 환영한다.;We welcome the new regime.;Nous faisons bon accueil au nouveau r?ime.;Wir begr廻en das neue Regime.;;;;;;;;;;;x,,,,
EVTDESC96086;외국군은 $CAPITAL$을(를) 떠나며 파쇼주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 알 수 없지만, 많은 사람들은 이미 정부를 전복하려 결심한 것으로 보입니다.;As the armies of our former enemy leave $CAPITAL$, they leave behind a newly-installed fascist government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ seem already determined to overthrow it in the name of freedom.;;;;;;;;;;;;;x,,
EVTDESC96087;외국군은 $CAPITAL$을(를) 떠나며 공산주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 알 수 없지만, 많은 사람들은 이미 정부를 전복하려 결심한 것으로 보입니다.;As the armies of our former enemy leave $CAPITAL$, they leave behind a newly-installed communist government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ seem already determined to overthrow it in the name of freedom.;;;;;;;;;;;;;x,,
EVTNAME96130;악명의 대가;The Price of Infamy;Le Prix de l'Infamie;Der Preis der Niedertracht;;;;;;;;;;;x,,,,
EVTDESC96130;국제사회가 $COUNTRY$의 호전적 태도를 논하는 이야기로 웅성거립니다. 일부는 $COUNTRY$의 공격성을 억제할 연합전선이 필요하다고 말합니다. 국민들을 자극해 우리에 대항하게 만드려는 시도까지 등장했습니다. 하나가 아닌 단결한 전세계의 강대국과 싸우지 않도록 앞으로 조심해야 합니다.;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about the need for a united front to contain $COUNTRY$ aggression. There are even efforts to stir up our own citizens against us. We will have to be careful in the future, lest we face not a single enemy but that of the world's great powers united against us.;;;;;;;;;;;;;x,,
EVTOPTA96130;그냥 놔둬!;Just let them try it!;Laissez-les Venir!;Lassen Sie Kommen!;;;;;;;;;;;x,,,,
EVTNAME96131;긴장의 안락함;An Ease in Tensions;Un Amoindrissement des Tensions;Eine Verminderung von Spannungen;;;;;;;;;;;x,,,,
EVTDESC96131;전세계의 강대국들이 $COUNTRY$의 공격적인 태도를 바꾸려는 노력에 주목했습니다. 어떤 이들은 관계 개선을 제안해오며, 외교관들은 $COUNTRY$이(가) 다른 나라를 문명적인 방식으로 대할 것이라는 희망을 표현하고 있습니다.;The world's great powers have taken note of $COUNTRY$'s efforts to change our aggressive ways. Some are making overtures to improve relations, and their diplomats are expressing hope that $COUNTRY$ will continue to deal with other countries in a civilized manner.;;;;;;;;;;;;;x,,,
EVTOPTA96131;신뢰에 감사를 표한다.;Thanks for the vote of confidence.;Merci pour le vote de confiance.;Dank f? die Vertrauensabstimmung.;;;;;;;;;;;x,,,,
EVTNAME96136;$FROMCOUNTRY$의 최후통첩;The $FROMCOUNTRY$ Ultimatum;$FROMCOUNTRY$ Ultimatum;Das $FROMCOUNTRY$ Ultimatum;;;;;;;;;;;x,,,,
EVTDESC96136;$FROMCOUNTRY$ 외교단이 최후통첩을 통보해왔습니다. '$COUNTRY$을(를) 즉시 해체하지 않으면, 전세계 강대국들이 단결해 당신네 국가를 공격할 것이다.' 그들의 요구는 다음과 같습니다.\n\n1. 불법적으로 소유하고 있는 모든 영토 반환.\n2. 현재 독립을 열망하는 모든 국가 해방\n3. 모든 식민지와 해외 영토를 다른 강대국에 양도.\n4. $COUNTRY$은(는) 10년 동안 선전포고 금지.\n\n이러한 요구들이 매우 굴욕적이라는 것은 말할 필요도 없으며, 받아들인다 해도 국민들은 당연히 분노할 것입니다. 다만 이 최후통첩을 받아들이지 않는다면 거대한 전쟁에 직면할 것입니다.;$FROMCOUNTRY$ diplomats have approached our nation with an ultimatum: dimantle $COUNTRY$ immediately, or the great powers of the world will be forced to unite against us. Their demands consist of the following:\n\n1. The return of all unlawfully-held territories gained by conquest.\n2. The release of any aspirant peoples currently within our lands.\n3. The transfer of all colonies and overseas territories to the other great powers.\n4. An agreement by $COUNTRY$ not to declare war on any other nation for a period of no less than ten years.\n\nIt goes without saying that these demands are extremely humiliating, and the $COUNTRY$ people would be justifiably upset should we agree. If we do not, however, $COUNTRY$ will face a great war which even we may not be able to deal with.;;;;;;;;;;;;;x
EVTOPTA96136;절대 안돼!;Never!;Nous refusons!;Wir lehnen ab!;;;;;;;;;;;x,,,,
EVTOPTB96136;어쩔 수 없이 받아들여야 한다.;We have no choice but to accept.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTNAME96141;$FROMCOUNTRY$의 참전;$FROMCOUNTRY$ Joins the War;$FROMCOUNTRY$ D?lare la Guerre;$FROMCOUNTRY$ Erkl?t Krieg;;;;;;;;;;;x,,,,
EVTDESC96141;$FROMCOUNTRY$이(가) 전보를 보내왔습니다. '$COUNTRY$이(가) $FROMCOUNTRY$에게 전쟁을 선포했으므로, $COUNTRY$을(를) 무장해제하고 국제사회에 복종하게 만들 때까지 전쟁을 추구하겠다.';We have received a cable from $FROMCOUNTRY$: they have declared war upon us, and will pursue the war until such a time as $COUNTRY$ is disarmed and submitted to the will of the international community.;;;;;;;;;;;;;x,,,
EVTOPTA96141;과연...;We shall see about that.;Je doute de lui.;Ich bezweifele es.;;;;;;;;;;;x,,,,
EVTNAME96150;의기양양한 $COUNTRY$;$COUNTRY$ Stands Triumphant;$COUNTRY$ est Triomphante;$COUNTRY$ ist Triumphierend;;;;;;;;;;;x,,,,
EVTDESC96150;어느 국가도 $COUNTRY$의 방식에 저항할 수 없음을 입증했습니다. 우리는 원하는 대로 할 것이고, 소위 강대국이 아무리 반대한다 해도 단념하지 않을 것입니다. 지금은 평화롭지만, 만약 다른 나라들이 우리를 막으려고 한다면 평화는 깨질 것입니다.;We have proven that no nation can stand in $COUNTRY$'s way. We will do as we please, and no amount of objection from the so-called great powers of the world will deter us from achieving our destiny. For now there is peace, and if other nations seek to stop us from achieving our future goals, they are welcome to try.;;;;;;;;;;;;;x,
EVTOPTA96150;대단해!;Excellent!;Excellent!;Ausgezeichnet!;;;;;;;;;;;x,,,,
EVTNAME96090;군주정 종식;End of the $COUNTRY$ Monarchy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96090;최근 전쟁에서 $COUNTRY$이(가) 패전하면서 왕실은 많은 비난을 받았습니다. 이미 여러번의 암살 시도가 있었고, 정부 내에서마저 군주의 퇴진을 요구했습니다. 대중의 정서도 공화정에 가까워졌습니다. 한편 몇몇 사람들은 국가를 더 큰 혼란에 빠뜨릴 것이라며 우려합니다.;With the loss of $COUNTRY$ in the recent war, the $COUNTRY$ monarchy has received much of the blame -- there have already been several assassination attempts, and calls within the government for the monarchy to step down. Sentiment in the public has turned to the notion of $COUNTRY$ becoming a democracy... though some fear this will plunge the nation into even further chaos.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT96090OPTA;군주를 내쫓겠다.;The monarchy will go into exile.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT96090OPTB;절대 안돼! 군주제를 유지해야 한다.;Never! The monarchy will remain.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96061;$COUNTRY_ADJ$ 자치령;The $COUNTRY$ Dominion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96061;우리는 속국에서 해방됐습니다.;We have been freed as a vassal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96060;$COUNTRY$의 독립 허가;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96060;해방!;Freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96019;$COUNTRY_ADJ$ 식민지;The $COUNTRY$ Colonies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96019;우리는 우리 식민지와 해외 영토의 지불을 협상하는 과정에 있습니다.;We are in the process of negotiating the disbursement of our colonies and overseas territories.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT96019OPTA;그래야 한다면.;If we must.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96018;$COUNTRY$의 독립 허가;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96018;자유!;Freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96012;$COUNTRY$의 독립 허가;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96012;자유!;Freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96003;동맹 소집 새로고침;Call Allies Refresh;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96003;인공지능에게 새로운 동맹국들을 참전시킬 기회를 제공합니다.;Gives the AI the chance to call new allies into the war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT96003OPTA;집어치워라;Stop fucking with the localization Rylock;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96002;동맹 소집 정리;Call Allies Cleanup;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC96002;평시가 되면 해상 표식을 제거합니다.;This removes the flag once peace is achieved.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT96002OPTA;이것을 깨끗하게 유지합시다 - Rylock이 말했습니다. 그런 다음 현지화를 사용합니다.;Let's keep this clean - Rylock said. Then use the localization.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96001;참전 요청;Call Allies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
