CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
MOVEMENT_RADICALISM_BASE;기본값: 쬟$VAL$쬦;Base: 쬟$VAL$쬦;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
MOVEMENT_RADICALISM_GRANTED_REFORMS;개혁 요구: 쬟$VAL$쬦;Granted reforms: 쬒$VAL$쬦;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
MUST_NEGOTIATE_WITH_WAR_LEADER;전쟁주도국이 아니므로 적 진영의 쬨전쟁주도국쬦과 협상해야 합니다.;We must negotiate with the enemy 쬨War leader쬦 if we are not leading our war;쬦d쬦aut de dominer la guerre que nous menons, nous devons n쬦ocier avec le 쬨meneur de guerre쬦 ennemi.;Wenn wir den Krieg nicht anf쬦ren, m쬦sen wir mit dem feindlichen 쬨Kriegsf쬦rer쬦 verhandeln.;;Si no progresamos en nuestra guerra, tenemos que negociar con el 쬙쬦er de la guerra쬨 enemigo;;;;;;;;;x;;;;;;;;;;;;;;;;
OTHERS_CB_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OUTLINER_TOOLTIP_EMPLOYED;노동자: 쬨$COUNT$쬦(전체의 쬨$PERC$쬦%);쬨$COUNT$쬦 Employed in factories (쬨$PERC$쬦%);쬨$COUNT$쬦Employ쬦 en usines (쬨$PERC$쬦 %);쬨$COUNT$쬦 in (쬨$PERC$쬦%) Fabriken eingestellt;;;;;;;;x;;;;;;;;;;;;;;;;;;;
RALLY_POINT_INFO;이 지역을 합류지점으로 설정하면 편제가 완료된 주변 지역 부대들이 이 지역으로 향합니다.\n(자세한 내용은 모집 지도 참조);If you enable the 쬨rally point쬦 in this province, then all nearest units will head this way when recruiting is done.\n(See recruitment map mode for more details);Si vous activez le 쬨point de ralliement쬦 dans cette province, toutes les unit쬦 proches s'y rendront d쬦 qu'elles seront recrut쬦s.\n(Voir la carte de recrutement pour plus de d쬦ails);Falls Ihr den 쬢ammelpunkt쬦 In dieser Provinz aktiviert, werden sich alle Einheiten aus der Umgebung hierher bewegen, sobald die Rekrutierung abgeschlossen ist.\n(Weitere Details findest du im Rekrutierungs-Kartenmodus);;;;;;;;;;;x;;;;;;;;;;;;;;;;
REMOVE_MILITARY_LEADER_NAME_TOOLTIP;쬨$NAME$쬦에 쬨$ARMY$쬦이(가) 배치되어 있습니다.\n현재 쬨$ARMY$쬦은(는) 쬨$LOCATION$쬦에 위치해 있습니다.;쬨$NAME$쬦 is assigned to 쬨$ARMY$쬦,\ncurrently situated at 쬨$$LOCATION쬦.;쬨$NAME$쬦 est attribu쬦쬦쬨$ARMY$쬦,\nactuellement situ쬦쬦쬨$$LOCATION쬦.;쬨$NAME$쬦 wurde 쬨$ARMY$쬦 zugeteilt,\nderzeit stationiert in 쬨$$LOCATION쬦.;;쬨$NAME$쬦 se ha asignado a 쬨$ARMY$쬦,\nsituado actualmente en 쬨$$LOCATION쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
STATE_NONCORES;영유권 미보유 지역: 쬟$VALUE$쬦쬦;Non-core provinces in state: 쬟$VALUE$쬦쬦;Territoires non cl쬦 de l'쬦at : 쬟$VALUE$쬦쬦;Nicht-Kernprovinzen im Staat: 쬟$VALUE$쬦쬦;;Provincias que no son n쬦leos en el estado: 쬟$VALUE$쬦쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
UNITARRIVED_6;추가 주문을 기다리고 있습니다.;They are awaiting further orders;Ils y attendent de nouveaux ordres.;Sie warten auf weitere Befehle.;prowincji $PROV$;Est쬦 esperando 쬦denes adicionales;$PROV$;$PROV provinci쬦a.;$PROV$;;;;;;x;;;;;;;;;;;;;;;;
WAR_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$ 전쟁 돌입!;$TAG_0_0_UPPER$ GOES TO WAR!;;$TAG_0_0_UPPER$ ZIEHT IN KRIEG!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
WAR_NEWS_TITLE_SMALL;전시 상황에 놓인 $TAG_0_0_$!;$TAG_0_0_$ at War!;;$TAG_0_0_$ im Krieg!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
WEGAINCB_LOG;우리나라가 $ENEMY$에 대해 '$CASUS$' 전쟁명분을 얻었습니다.;We gained the '$CASUS$' Casus Belli against $ENEMY$.;Nous avons obtenu un casus belli "$CASUS$" contre $ENEMY$.;Wir erhielten den Kriegsgrund '$CASUS$' gegen $ENEMY$.;;Tenemos un Casus belli '$CASUS$' contra $ENEMY$.;;;;;;;;;x;;;;;;;;;;;;;;;;
kiel_canal_NEWS_LONG;상업과 해군의 이해관계가 맞아떨어져 $TAG0_0$이(가) 선박들이 유틀란트 주변의 폭풍우치는 바다를 항해하지 않고도 발트 해와 북해 사이를 항해할 수 있는 인공수로를 건설하는 계획에 착수했습니다. 61마일의 운하는 세계에서 가장 바쁜 인공 수로 중 하나가 될 것으로 예상됩니다. 이 계획은 모든 해양 국가들을 위한 상업에 새로운 추진력을 제공하고, 전쟁과 정복보다는 제조, 무역, 그리고 공학을 통해 국가의 위대함을 달성할 수 있다는 것을 증명합니다.;A combination of commercial and naval interests have led $TAG0_0$ to the idea of constructing an artificial waterway that'd allow vessels to travel between the Baltic and North Seas without having to circumnavigate the stormy seas around Jutland. The 61 miles long canal is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;Eine Kombination aus Handels-und Kriegshafen f쬦rte dazu das $TAG0_0$ auf die Idee kam einen k쬦stlichen Wasserweg zu errichten, mit dem Schiffe zwischen der Nord-und Ostsee reisen k쬦nen ohne durch die st쬦mische See um Jutland herum zu m쬦sen. Von dem 61 Meilen langen Kanal wird erwartet das er in k쬦zester Zeit zur verkehrreichsten k쬦stlichen Wasserstrasse der Welt werden wird. Das Projekt bietet neue Impulse f쬦 den Handel aller maritimen L쬦der und bewei쬦, dass die Gr秤e einer Nation durch Produktion, Handel und Technik erreicht werden kann, anstatt durch Krieg und Eroberung.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
panama_canal_NEWS_LONG;파나마 해협을 통과하는 운하의 개통은 $TAG0_0$에게 자랑스러운 일입니다. 운하의 길이는 48마일이며 양쪽 끝에는 가장 복잡한 자물쇠가 달려 있습니다. 그것은 전 세계에서 가장 건강에 좋지 않은 지역 중 하나에 지어졌습니다. 그래서 그것은 현대 의학만큼이나 현대 공학에 대한 기념물입니다. 전문가들은 또한 이 운하가 빠르게 국제 해상 무역의 중요한 관로가 될 것으로 기대합니다. 또한 전문가들은 이 운하가 전쟁 때 그것의 조종사에게 큰 전략적 이점을 제공할 것이라고 주장합니다.;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends. It was built in one of the most unhealthy areas of the entire world, so it's as much a monument to modern engineering as to modern medicine. The canal is expected to quickly become an important conduit to international maritime commerce, experts also claim it to offer great strategic advantage to its controller in times of war.;;Die 쬦fnung eines Kanals durch die Landenge von Panama ist ein stolzer Tag f쬦 $TAG0_0$. Der Kanal ist 48 Meilen lang und ist in der Tat ein abgesperrter Wasserweg, 85 Meter 쬦er dem Wasserspiegel, mit einigen der kompliziertesten Schl쬦sern an beiden Enden. Es wurde in einer der ungesundesten Gebieten der gesamten Erde errichtet, sodass es ein Denkmal f쬦 die moderne Technik sowie der modernen Medizin zu betrachten ist. Von dem Kanal wird erwartet schnell eine wichtige Leitung im internationalen Seehandel zu werden. Auch Experten behaupten das dieser Kanal eine strategische Rolle in Kriegszeiten spielen wird.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
panama_canal_NEWS_MEDIUM;파나마 해협을 통과하는 운하의 개통은 $TAG0_0$에게 자랑스러운 일입니다. 운하의 길이는 48마일이며 양쪽 끝에는 가장 복잡한 자물쇠가 달려 있습니다. 그것은 전 세계에서 가장 건강에 좋지 않은 지역 중 하나에 지어졌습니다. 그래서 그것은 현대 의학만큼이나 현대 공학에 대한 기념물입니다.;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level. Built in one of most unhealthy places it's a monument to modern engineering as well as medicine.;;Die 쬦fnung eines Kanals durch den Isthmus von Panama ist ein stolzer Tag f쬦 $TAG0_0$. Der Kanal ist 48 Meilen lang und ist in Fakt ein abgesperrter Wasserweg, 85 Meter 쬦er dem Meeresspiegel. Gebaut in einer der unges쬦desten Gebiete ist der Kanal ein Denkmal and die moderne Technik und Medizin.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
panama_canal_NEWS_SHORT;파나마 해협을 통과하는 운하의 개통은 $TAG0_0$에게 자랑스러운 일입니다. 운하의 길이는 48마일이며 양쪽 끝에는 가장 복잡한 자물쇠가 달려 있습니다.;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends.;;Die 쬦fnung eines Kanals durch die Landenge von Panama ist ein stolzer Tag f쬦 $TAG0_0$. Der Kanal ist 48 Meilen lang und ist ein abgesperrter Wasserweg, welcher 85 Meter 쬦er dem Meeresspiegel liegt, und mit einigen der komplizierten Schl쬦sern ausgestattet ist.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
protect_minor_desc;오른쪽 목록에서 쬨주쬦를 선택하세요;Select a 쬨state쬦 in the list to the right;S쬦ectionner un 쬨쬦at쬦 dans la liste de droite.;W쬦len Sie in der Liste rechts einen 쬨Staat쬦 aus.;;Seleccionar un 쬮stado쬦 de la lista de la derecha;;;;;;;;;x;;;;;;;;;;;;;;;;
suez_canal_NEWS_LONG;역사상 최초의 배가 수에즈 해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다. 현대 공학의 진정한 경이로움으로, 길이 102마일, 깊이 26피트인 수에즈 운하는 곧 세계에서 가장 활발한 운송 항로 중 하나가 될 것으로 기대되며, 화물 운송 비용을 낮추고 전 세계의 상업에 힘을 실어줄 것입니다. 회의론자들은 해당 운하 개발의 중요성을 폄하하기 위해 '뱃삯이 유지비와 맞먹기 때문에 아프리카 항로가 여전히 지배적일 것이다'라고 주장합니다.;A triumphant day for $TAG0_0$ as the first ship in history successfully passes through the newly opened canal across the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep Suez Canal is expected to soon become one of the world's most active shipping lanes, driving down freight costs and bolstering commerce world-wide. 'Shipping fees will never return the costs of maintenance, the route around Africa will remain dominant', sceptics claim in an attempt to diminish the importance of this development.;;Ein triumphaler Tag f쬦 $TAG0_0$ als das erste Schiff in der Geschichte erfolgreich den neu er쬦fneten Kanal 쬦er den Isthmus von Suez passierte. Ein wahres wunderwerk der modernsten Technik, von dem 102 Meilen lange und 26 Meter tiefe Suezkanal wird erwartet der weltweit aktivste Schifffahrtsweg zu werden, und somit die Frachtkosten zu senken. "Die Versandkosten werden nie die Kosten der Wartung einbringen, die Route um Afrika wird dominant bleiben." behaupten Skeptiker in einem Versuch die Bedeutung dieser Entwicklung zu verringern.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
suez_canal_NEWS_MEDIUM;역사상 최초의 배가 수에즈 해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다. 현대 공학의 진정한 경이로움으로, 길이 102마일, 깊이 26피트인 수에즈 운하는 곧 세계에서 가장 활발한 운송 항로 중 하나가 될 것으로 기대되며, 화물 운송 비용을 낮추고 전 세계의 상업에 힘을 실어줄 것입니다.;A triumphant day for $TAG0_0$ as the first ship successfully passes through the newly opened canal across the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long Suez Canal is expected to soon become one of the world's most active shipping lanes.;;Ein triumphaler Tag f쬦 $TAG0_0$ als das erste Schiff erfolgreich durch den neu er쬦fneten Kanal 쬦er den Isthmus von Suez f쬦rt. Ein wahres Wunderwerk der modernen Technik, wird der 102 Meilen lange Suezkanal vorraussichtlich bald einer der weltweit aktivsten Schifffahrtswege.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
suez_canal_NEWS_SHORT;역사상 최초의 배가 수에즈 해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다. 길이 102마일, 깊이 26피트인 수에즈 운하는 곧 화물 운송 비용을 낮추고 전 세계의 상업에 힘을 실어줄 것입니다.;A triumphant day for $TAG0_0$ as the first ship in history successfully passes through the newly opened 102 miles long and 26 feet deep canal across the Isthmus of Suez.;;Ein triumphaler Tag f쬦 $TAG0_0$ als das erste Schiff in der Geschichte erfolgreich durch den neuer쬦fneten 102 Meilen langen und 26 Meter tiefen Kanal 쬦er den Isthmus von Suez f쬦rt.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
15_inch_electromagnetic_aircraft_launch;15인치 전자식 항공기 발사;15 Inch Electromagnetic Aircraft Launch;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
15_inch_main_armament;15인치 주포;15-inch Main Armament;Armement principal de 15 pouces;15-Zoll-Hauptgesch쬦ze;;Ca쬦nes de 15 pulgadas;;;;;;;;;x;;;;;;;;;;;;;;;;
15_inch_main_armament_desc;처음 노급전함의 주포는 대부분 12인치 또는 13.5인치였지만, 현대 해군들은 곧 더 큰 구경을 원하기 시작했습니다. 이는 이후 전함들이 이전 전투함들보다 파괴력과 사정거리가 훨씬 더 큰 15인치 또는 16인치 주포로 무장하는 결과를 낳았습니다.;The main armament of the first dreadnoughts consisted in most cases of 12-inch or 13.5-inch guns, but modern navies soon began to desire a larger calibre main armament. This resulted in later battleships being armed with 15-inch or 16-inch main guns, which had significantly greater destructive power and range than their predecessors.;L'armement principal des premiers dreadnought consistait dans la plupart des cas 쬦des canons de 12 pouces ou de 13,5 pouces, mais les marines modernes ne tard쬦ent pas 쬦d쬦irer un plus gros calibre en armement principal. Il en r쬦ulta des cuirass쬦 sur le tard, arm쬦 de canons principaux de 15 pouces ou de 16 pouces, qui avaient nettement plus de puissance destructrice et de port쬦 que leurs pr쬦쬦esseurs. ;Die Hauptbewaffnung der ersten Dreadnoughts bestand meistens aus 12- oder 13,5-Zoll-Gesch쬦zen, moderne Seestreitkr쬦te verlangte es aber schon bald nach einer gro쬦alibrigeren Hauptbewaffnung. Dies f쬦rte dazu, dass sp쬦ere Schlachtschiffe mit 15- oder 16-Zoll-Hauptgesch쬦zen bewaffnet wurden, die weitaus gr秤ere Zerst쬦ungskraft und Reichweite als ihre Vorg쬦ger hatten.;;El armamento principal de los primeros acorazados sol쬦 consistir en ca쬦nes de 12 o incluso 13,5 pulgadas, pero las marinas modernas no tardaron en desear ca쬦nes a쬦 mayores. El resultado fue que los acorazados posteriores se armaron con ca쬦nes de 15 쬦16 pulgadas, cuyo alcance y capacidad de destrucci쬦 eran significativamente m쬦 grandes que los de sus predecesores.;;;;;;;;;x;;;;;;;;;;;;;;;;
76_millimeter_gun;76밀리미터 총;76 Millimeter Gun;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
76_millimeter_gun_desc;대포류 무기는 크기와 화력 면에서 이전보다 훨씬 향상됐습니다. 이 무기들은 현대전의 미래를 보여줍니다.;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;;
ABANDON_GAME;게임 포기;Abandon Game;Abandonner la partie;Spiel aufgeben;;Abandonar juego;;;;;;;;;x;;;;;;;;;;;;;;;;
ACCEPT;수락;Accept;Confirmer;Akzeptieren;Prowincje nienarodowe;Aceptar;Non nazionale;Nem mag;Okraj;;;;;;x;;;;;;;;;;;;;;;;
ACTIVATE_GOODS;상품 활성화: ;Activate: ;Active : ;Aktivieren: ;;Activar: ;;;;;;;;;x;;;;;;;;;;;;;;;;
ACTIVATE_TECH_EFFECT; 기술 활성화: 쬨$NAME$쬦;Activate technology: 쬨$NAME$쬦;Activer la technologie 쬨$NAME$쬦;Technologie aktivieren: 쬨$NAME$쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ACTUAL_BOUGHT;실제 거래: ;$VAL$ Actual bought: $VAL$;Achats effectifs : $VAL$;Tats쬦hlich gekauft: $VAL$;;Adquisici쬦: $VAL$;;;;;;;;;x;;;;;;;;;;;;;;;;
ACT_NO_SELF;자국과는 협상할 수 없습니다.;We cannot negotiate with ourselves.;Nous ne pouvons pas n쬦ocier avec nous-m쬦es.;Wir k쬦nen nicht mit uns selbst verhandeln.;;No podemos negociar con nosotros mismos.;;;;;;;;;x;;;;;;;;;;;;;;;;
ACT_WARDESC;전쟁을 선포하면 그들 군대를 공격할 수 있으며 그들 국경 안으로 진입할 수 있습니다. 한쪽이 항복할 때까지 전쟁은 계속됩니다.;Declaring war will allow our troops to attack theirs and allow us to enter their country. War will continue until either party surrenders.;Une d쬦laration de guerre permettra 쬦nos troupes d'attaquer les leurs et d'entrer dans leur pays. La guerre se poursuivra jusqu'쬦la capitulation d'une des parties.;Eine Kriegserkl쬦ung erlaubt unseren Truppen den Einmarsch in ihr Gebiet und den Angriff auf ihre Truppen. Der Krieg h쬦t so lange an, bis eine der beiden Kombattanten kapituliert.;Nie mo풽sz wypowiedzie쬦wojny pa쬦twu, z kt쬦ym masz podpisany sojusz. Najpierw wyjd쬦z sojuszu.;Declarar la guerra permitir쬦que nuestras tropas ataquen las suyas y podremos invadir su pa쬦. La guerra continuar쬦hasta que uno de los bandos se rinda.;Non puoi dichiarare guerra a una nazione con cui sei alleato. Devi prima annullare l'alleanza.;Nem ind쬦hatsz olyan orsz쬦 ellen h쬦or쬦, amellyel sz쬦ets쬦ben 쬦lsz. El쬦z쬦 szak쬦sd meg a sz쬦ets쬦et.;Nem쬦ete vyhl쬦it v쬦ku zemi, kter쬦je va싴m spojencem. Nejprve mus쬦e zru쉏t alianci.;;;;;;x;;;;;;;;;;;;;;;;
ACW_DESC;북아메리카에서는 남부 주들이 합중국에서 탈퇴하려 하면서 내전이 격렬해지고 있습니다. 결과는 불확실하지만, 양측 모두 철도와 전보, 그리고 반복적으로 새 종류의 소총을 사용할 수 있기 때문에 새로운 형태의 전쟁이 될 것을 약속합니다. 한편, 유럽에서는 영국이 최초의 철제 증기선 전함을 시험하고 있는데, 이 전함은 해상전에서의 혁명을 약속합니다. 점점 더 많은 국가들이 산업화를 시작함에 따라 세계 곳곳에서 산업혁명이 가속화되고 있습니다. 변화무쌍한 시대가 도래했습니다.;Civil war rages in North America as the Conferate States attempt to secede from the Union. The outcome is uncertain, but already this promises to be a new type of war as both sides have access to railroads, telegraphs, and repeating rifles. Meanwhile, in Europe, Great Britain is experimenting with the first iron-hulled steam-driven warship, a combination which promises to revolutionise the war at sea. World wide the industrial revolution is gathering speed as more and more nations start to industrialise. The times they are a-changing.;La Guerre Civile fait rage en Am쬦ique du Nord alors que les 쬦ats Conf쬦쬦쬦 tentent de faire s쬦ession de l'Union. Le d쬦ouement est incertain, mais avec l'acc쬦 qu'ont les deux camps aux chemins de fer, aux t쬦쬦raphes et aux fusils 쬦r쬦쬦ition, ce sera une guerre d'un nouveau type. Pendant ce temps, en Europe, la Grande-Bretagne est en train d뭙xp쬦imenter le premier navire de guerre avec coque en acier et propulsion 쬦vapeur, combinaison qui promet de r쬦olutionner le cours de la guerre navale. Dans le monde entier, la r쬦olution industrielle gagne du terrain et de plus en plus de pays commencent 쬦s'industrialiser. Les temps changent...;Der Sezessionskrieg tobt in Nordamerika, da die konf쬦erierten Staaten versuchen, sich von der Union abzuspalten. Der Ausgang ist ungewiss, doch es verspricht schon jetzt eine neue Art des Krieges zu werden, da beide Seiten Zugriff auf Eisenbahn, Telegram;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ACW_NAME;분열된 집안;A House Divided;Une Maison Divis쬦;Ein geteiltes Haus;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADAPTING_HISTORY;Adapting History...;Adaptation de l'Histoire...;Geschichte wird angepasst ...;Przystosowywanie historii...;Adaptando historia...;Adattamento storia in corso...;T쬦t쬦elmi f쬦lok bet쬦t쬦e쬦Adaptace historie...;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERETITLE;영향권 편입;Add to Sphere of Influence;Ajouter 쬦la sph쬦e d'influence;Zu Einflusssph쬦e hinzuf쬦en;;A쬦dir a esfera de influencia;;;;;;;;;x;;;;;;;;;;;;;;;;
