;;;;;;;;;;;;;;x,,,
HAS_NO_UNION_TAG; 문화연합 있음;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$일;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ d?s.;;;;;;;;;x;
breton;브르타뉴;Breton;Breton;Bretonisch;;;;;;;;;;;x
occitan;옥시타니아;Occitan;Occitain;Occitanisch;;;;;;;;;;;x
HAS_GOODS;생산물;produces ;;;;;;;;;;;;;x,,,
arrogant;오만함;Arrogant;Arrogant;Arrogant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
balanced_p;균형적임;Balanced;Pond??Ausgewogen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bigoted;편견이 심함;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brilliant;재능이 뛰어남;Brilliant;Brillant;Brilliant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brutish;야성적임;Brutish;Brutal;Brutal;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bold;용감함;Bold;T??aire;Mutig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brash;자신만만함;Brash;Impudent;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ballsy;배짱 있음;Ballsy;Valeureux;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bastard;버릇없음;Bastard;Goujat;Bastard;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cautious;조심스러움;Cautious;Prudent;Vorsichtig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
coward;겁이 많음;Coward;Couard;Kleinm?ig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chickenhearted;소심함;Chickenhearted;Poltron;훞gstlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
craven;비겁함;Craven;Veule;Mutlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
competent;능숙함;Competent;Comp?ent;Kompetent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
clever;영리함;Clever;Adroit;Clever;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careless;경솔함;Careless;N?ligent;Achtlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
calm;침착함;Calm;Calme;Ruhig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cool_minded;차분함;Coolminded;Serein;Bedachtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careful;세심함;Careful;Attentif;Sorgsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cruel;잔인함;Cruel;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
choleric;화를 잘 냄;Choleric;Col?ique;Cholerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
charismatic;사람들을 잘 휘어잡음;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chivalrous;예의 바름;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
confident;자신감 넘침;Confident;Confiant;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
doughty;용맹함;Doughty;Vaillant;Tapfer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
defiant;반항적임;Defiant;Provocateur;Trotzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disciplined;잘 통솔됨;Disciplined;Disciplin?Diszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diligent;근면함;Diligent;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dauntless;굴하지 않음;Dauntless;D?ermin?Unverzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
daring;모험적임;Daring;Hardi;Draufg?gerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disorderly;어수선함;Disorderly;D?ordonn?Unordentlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
decisive;결단력 있음;Decisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dumb;멍청함;Dumb;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diplomatic;사교적임;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
deeply_religious;독실함;Deeply Religious;Tr? croyant;Tief religi?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
expert;숙련됨;Expert;Expert;Experte;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
energetic;정력적임;Energetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
efficient;능률적임;Efficient;Efficace;Effizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
emotional;감정적임;Emotional;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
earnest;성실함;Earnest;S?ieux;Ernsthaft;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fearless;두려움이 없음Fearless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
forgiving;너그러움;Forgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fanatic;광신도;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gallant;정중함;Gallant;Courageux;Galant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
glory_hound;야심적임;Glory Hound;Ambitieux;Ruhms?htig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
genius;천재;Genius;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gutsy;배짱 있음;Gutsy;Brave;Waghalsig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
harsh;가혹함;Harsh;Dur;Harsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
hellbent;무모함;Hellbent;Acharn?Draufg?ger;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
heroic;영웅적임;Heroic;H?o?ue;Heroisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irresponsible;무책임함;Irresponsible;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imaginative;창의적임;Imaginative;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indecisive;우유부단함;Indecisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inspiring;고무적임;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impetuous;성급함;Impetuous;Imp?ueux;Ungest?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
implacable;완강함;Implacable;Implacable;Unerbittlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imperious;고압적임;Imperious;Autoritaire;Herrisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irate;쉽게 격분함;Irate;Furieux;Aufbrausend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intuitive;직감적임;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impulsive;충동적임;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
incapable;무능함;Incapable;Incapable;Unf?ig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indifferent;무관심함;Indifferent;Indiff?ent;Gleichg?tig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intelligent;총명함;Intelligent;Intelligent;Intelligent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inept;서투름;Inept;Inepte;Untauglich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inefficient;능률 낮음;Inefficient;Inefficace;Ineffizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
keen;열정적임;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lilylivered;겁쟁이;Lilylivered;Froussard;Feige;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lackluster;활기 없음;Lackluster;Terne;Lustlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
merciless;무자비함;Merciless;Impitoyable;Gnadenlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
meticulous;꼼꼼함;Meticulous;M?iculeux;Genau;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
manful;씩씩함;Manful;Ardent;M?nlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
madman;미치광이;Madman;Fou;Irrer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
mediocre;평범함;Mediocre;M?iocre;Mittelm癌ig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
maladroit;솜씨 없음;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
openminded;속이 트임;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
persistant;집요함;Persistant;Pers??ant;Hartn?kig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pompous;거만함;Pompous;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
paranoid;피해망상적임;Paranoid;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
polite;공손함;Polite;Poli;H?lich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pusillanimous;심약함;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pisspoor;질이 낮음;Pisspoor;Pitoyable;Arm;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
perverse;비뚤어짐;Perverse;Ent??Pervers;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
resourceful;지약 있음;Resourceful;Ing?ieux;Findig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
respectful;존경을 받음;Respectful;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
romantic;낭만적임;Romantic;Romantique;Romantisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
relentless;끈질김;Relentless;Implacable;Unbarmherzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
reserved;내성적임;Reserved;R?erv?Reserviert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
resolute;확고함;Resolute;R?olu;Resolut;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ruthless;인정사정없음;Ruthless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
rebellious;반체제적임;Rebellious;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
skilled;노련함;Skilled;Talentueux;Geschickt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
secretive;비밀스러움;Secretive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
shrinking_violet;수줍음;Shrinking Violet;Timor?Mauerbl?chen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sinner;죄인;Sinner;;;;;;;;;;;;x,,,
strange;이상함;Strange;?range;Merkw?dig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stout;튼튼함;Stout;Solide;Beherzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
soldierly;군인다움;Soldierly;Militaire;Soldatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
spirited;활발함;Spirited;Fougueux;Spr?end;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stalwart;충직함;Stalwart;Robuste;Robust;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
soft;부드러움;Soft;Indolent;Weich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
spineless;줏대 없음;Spineless;Mou;R?kgratlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stouthearted;굳셈;Stouthearted;Intr?ide;Beherzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
steadfast;유용함;Steadfast;In?ranlable;Solide;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
scared;무서움을 잘탐;Scared;Craintif;Ver?gstigt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
shirker;게으름뱅이;Shirker;Tire-au-flanc;Dr?keberger;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
smart_p;똑똑함;Smart;Habile;Schlau;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sharp;선명함;Sharp;Malin;Klug;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
timid;용기가 없음;Timid;Timide;Furchtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
tactful;재치 있음;Tactful;D?icat;Taktvoll;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unflinching;잘 위축되지 않음;Unflinching;Opini?re;Entschlossen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unruly;다루기 힘듦;Unruly;Insoumis;Widerborstig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
undisciplined;제멋대로임;Undisciplined;Indisciplin?Undiszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unforgiving;다루기 힘듦;Unforgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unmanly;남자답지 못함;Unmanly;L?he;Unm?nlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unsound;불안정함;Unsound;Dangereux;Unzuverl?sig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
vainglorious;자만심이 강함;Vainglorious;Vaniteux;Prahlerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
vicious;악랄함;Vicious;Violent;B?artig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
wrathful;몹시 노함;Wrathful;Courrouc?Zornerf?lt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
wretched;비참함;Wretched;Mis?able;J?merlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
yellow;겁이 매우 많음;Yellow;Trouillard;Memme;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
no_background;뒤가 없음;No Background;Aucun(e);Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ambitious_careerist;출세제일주의자Ambitious Careerist;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
architect;설계자;Architect;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
armchair_general;탁상공론식의 장군;Armchair General;G??al de fa?de;Sesselgeneral;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
artillerist;포병;Artillerist;Artilleur;Artillerist;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
amateur;아마추어;Amateur;Amateur;Amateur;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aristocrat;귀족;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
adventurer;모험가;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
butcher;도살자;Butcher;Boucher;Schl?hter;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bureaucrat_speed;빠른 관료;Bureaucrat Speed;Vitesse de bureaucrate;B?okratische Geschwindigkeit;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brownnoser;아첨을 잘함;Brownnoser;L?he-cul;Stiefellecker;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brilliant_strategist;뛰어난 전략가;Brilliant Strategist;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bootlicker;추종자;Bootlicker;L?he-bottes;Speichellecker;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cavalry_school;기병학교;Cavalry School;?ole de cavalerie;Kavallerieschule;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
colonial_recruit;식민지 징집군;Colonial Recruit;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
colonial_b;식민지 출신;Colonial;Colonial;Kolonial;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cartographer;지도 제작자;Cartographer;Cartographe;Kartograf;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cursed_luck;저주받은 행운아;Cursed Luck;Malchanceux;Vom Pech verflucht;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
corrupt;부패함;Corrupt;Corrompu;Korrupt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
clueless;아주 멍청함;Clueless;Ignorant;Ahnungslos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
debutante;사교계에 처음 가본 상류층;Debutante;D?utant;Deb?ant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disgraced;실각함;Disgraced;D?honor?In Ungnade Gefallener;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
drillmaster;교련 교관;Drillmaster;Sergent instructeur;Zuchtmeister;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diplomat;책략가;Diplomat;Diplomate;Diplomat;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
engineer;공병대;Engineer;G?ie;Ingenieur;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
entrepreneur;사업가;Entrepreneur;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
exranker;사병 출신;Exranker;Ancien militaire;Ex-Gefreiter;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
expert_raider;전문 침입자;Expert Raider;Commando exp?iment??erfallexperte;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
eccentric_genius;괴짜 천재;Eccentric Genius;G?ie excentrique;Exzentrisches Genie;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
elder_statesmen;원로 정치가;Elder Statesman;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
elderly;늙음;Elderly;헸?훜ter;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ethnic;민족적임;Ethnic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gifted_administrator;재능있는 관리자;Gifted Administrator;Administrateur dou?Begabter Administrator;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
generals_aide;장군의 보좌관;General's Aide;Aide de camp;Generalsadjutant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
hated;증오받음;Hated;Odieux;Gehasst;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
innovative_tactician;혁신적인 전술가;Innovative Tactician;Tacticien novateur;Innovativer Taktiker;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
immoral;부도덕함;Immoral;Immoral;Unmoralisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
introverted_philosopher;내성적인 철학자;Introverted Philosopher;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
incompetent;무능력자;Incompetent;Incomp?ent;Inkompetent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intellectual;이지적임;Intellectual;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
military_theoretician;군사 이론가;Military Theoretician;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
megalomaniac;과대망상증 환자;Megalomaniac;M?alomane;Megalomane;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
mercenary;수전노;Mercenary;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
feeble;허약함;Feeble;;;;;;;;;;;;x,,,
harsh_disciplinarian;규율이 가혹함;Harsh Disciplinarian;;;;;;;;;;;;x,,,
fearsome;무시무시함;Fearsome;;;;;;;;;;;;x,,,
independent;독립적임;Independent-Minded;;;;;;;;;;;;x,,,
bureaucrat;관료;Bureaucrat;;;;;;;;;;;;x,,,
member_of_elite;엘리트;Member of the Elite;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
natural_born_leader;타고난 지도자;Natural Born Leader;Leader naturel;Geborener Anf?rer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
nationalist;민족주의자;Nationalist;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
old_school;구식 학파;Old School;Vieille ?ole;Alte Schule;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
poet;시인;Poet;Po?e;Poet;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
priest;사제;Priest;Pr?re;Priester;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
professor;교수;Professor;Professeur;Professor;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
powerful_friends;강력한 동지;Powerful Friends;Amis puissants;M?htige Freunde;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pawn;졸병;Pawn;Pion;Pfand;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
questionable_loyalties;충성이 의심스러움;Questionable Loyalties;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
renowned_adventurer;유명한 모험가;Renowned Adventurer;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
politician;정치꾼;Politician;Politicien;Politiker;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
rising_star;떠오르는 별;Rising Star;?oile montante;Aufsteigender Stern;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
religious_fanatic;종교 광신도;Religious Fanatic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
religious_leader;종교 지도자;Religious Leader;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
railroad_man;철도 종업원;Railroad Man;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
